id,name,deadline_time,release_time,average_entry_score,finished,data_checked,highest_scoring_entry,deadline_time_epoch,deadline_time_game_offset,highest_score,is_previous,is_current,is_next,cup_leagues_created,h2h_ko_matches_created,can_enter,can_manage,released,ranked_count,overrides,chip_plays,most_selected,most_transferred_in,top_element,top_element_info,transfers_made,most_captained,most_vice_captained
11,Gameweek 11,2025-11-08T11:00:00Z,,38,True,True,12376400.0,1762599600,0,120.0,True,False,False,True,True,False,False,True,12338890,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}","[{'chip_name': 'bboost', 'num_played': 283693}, {'chip_name': 'freehit', 'num_played': 118562}, {'chip_name': 'wildcard', 'num_played': 113723}, {'chip_name': '3xc', 'num_played': 79701}]",430.0,283.0,228.0,"{'id': 228, 'points': 15}",10882725,430.0,82.0
12,Gameweek 12,2025-11-22T11:00:00Z,,39,True,True,480852.0,1763809200,0,134.0,False,True,False,True,True,False,False,True,12405243,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}","[{'chip_name': 'bboost', 'num_played': 117635}, {'chip_name': 'freehit', 'num_played': 231508}, {'chip_name': 'wildcard', 'num_played': 189247}, {'chip_name': '3xc', 'num_played': 92598}]",430.0,119.0,266.0,"{'id': 266, 'points': 20}",13914718,430.0,430.0
13,Gameweek 13,2025-11-29T13:30:00Z,,0,False,False,,1764423000,0,,False,False,True,True,True,True,True,True,0,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",[],,,,,0,,
14,Gameweek 14,2025-12-02T18:00:00Z,,0,False,False,,1764698400,0,,False,False,False,False,False,False,False,True,0,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",[],,,,,0,,
15,Gameweek 15,2025-12-06T11:00:00Z,,0,False,False,,1765018800,0,,False,False,False,False,False,False,False,True,0,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",[],,,,,0,,
16,Gameweek 16,2025-12-13T13:30:00Z,,0,False,False,,1765632600,0,,False,False,False,False,False,False,False,True,0,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",[],,,,,0,,
17,Gameweek 17,2025-12-20T11:00:00Z,,0,False,False,,1766228400,0,,False,False,False,False,False,False,False,True,0,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",[],,,,,0,,
18,Gameweek 18,2025-12-26T18:30:00Z,,0,False,False,,1766773800,0,,False,False,False,False,False,False,False,True,0,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",[],,,,,0,,
19,Gameweek 19,2025-12-30T18:00:00Z,,0,False,False,,1767117600,0,,False,False,False,False,False,False,False,True,0,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",[],,,,,0,,
20,Gameweek 20,2026-01-03T11:00:00Z,,0,False,False,,1767438000,0,,False,False,False,False,False,False,False,True,0,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",[],,,,,0,,
21,Gameweek 21,2026-01-06T18:30:00Z,,0,False,False,,1767724200,0,,False,False,False,False,False,False,False,True,0,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",[],,,,,0,,
22,Gameweek 22,2026-01-17T11:00:00Z,,0,False,False,,1768647600,0,,False,False,False,False,False,False,False,True,0,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",[],,,,,0,,
23,Gameweek 23,2026-01-24T11:00:00Z,,0,False,False,,1769252400,0,,False,False,False,False,False,False,False,True,0,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",[],,,,,0,,
24,Gameweek 24,2026-01-31T13:30:00Z,,0,False,False,,1769866200,0,,False,False,False,False,False,False,False,True,0,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",[],,,,,0,,
25,Gameweek 25,2026-02-07T13:30:00Z,,0,False,False,,1770471000,0,,False,False,False,False,False,False,False,True,0,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",[],,,,,0,,
26,Gameweek 26,2026-02-11T18:30:00Z,,0,False,False,,1770834600,0,,False,False,False,False,False,False,False,True,0,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",[],,,,,0,,
27,Gameweek 27,2026-02-21T13:30:00Z,,0,False,False,,1771680600,0,,False,False,False,False,False,False,False,True,0,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",[],,,,,0,,
28,Gameweek 28,2026-02-28T13:30:00Z,,0,False,False,,1772285400,0,,False,False,False,False,False,False,False,True,0,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",[],,,,,0,,
29,Gameweek 29,2026-03-04T18:30:00Z,,0,False,False,,1772649000,0,,False,False,False,False,False,False,False,True,0,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",[],,,,,0,,
30,Gameweek 30,2026-03-14T13:30:00Z,,0,False,False,,1773495000,0,,False,False,False,False,False,False,False,True,0,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",[],,,,,0,,
31,Gameweek 31,2026-03-21T13:30:00Z,,0,False,False,,1774099800,0,,False,False,False,False,False,False,False,True,0,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",[],,,,,0,,
32,Gameweek 32,2026-04-11T12:30:00Z,,0,False,False,,1775910600,0,,False,False,False,False,False,False,False,True,0,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",[],,,,,0,,
33,Gameweek 33,2026-04-18T12:30:00Z,,0,False,False,,1776515400,0,,False,False,False,False,False,False,False,True,0,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",[],,,,,0,,
34,Gameweek 34,2026-04-25T12:30:00Z,,0,False,False,,1777120200,0,,False,False,False,False,False,False,False,True,0,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",[],,,,,0,,
35,Gameweek 35,2026-05-02T12:30:00Z,,0,False,False,,1777725000,0,,False,False,False,False,False,False,False,True,0,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",[],,,,,0,,
36,Gameweek 36,2026-05-09T12:30:00Z,,0,False,False,,1778329800,0,,False,False,False,False,False,False,False,True,0,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",[],,,,,0,,
37,Gameweek 37,2026-05-17T12:30:00Z,,0,False,False,,1779021000,0,,False,False,False,False,False,False,False,True,0,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",[],,,,,0,,
38,Gameweek 38,2026-05-24T13:30:00Z,,0,False,False,,1779629400,0,,False,False,False,False,False,False,False,True,0,"{'rules': {}, 'scoring': {}, 'element_types': [], 'pick_multiplier': None}",[],,,,,0,,
